Nom;Localités;X;Y;Altitude;Ordre;H_Ellipsoidale;Etat;Observations;Année_de_mesure;Référentiel;Epoque
RRSO1;DAKAR;237324.957;1628911.262;19.133;1er ordre;50.059;;;;;
RRSO2;THIES;291601.039;1635533.355;80.543;1er ordre;110.976;;;;;
RRSO3;DIOURBEL;365056.28;1620169.993;8.335;1er ordre;37.736;;;;;
RRSO4;LINGUERE;487433.96;1702167.928;16.978;1er ordre;47.812;;;;;
RRSO5;LOUGA;369142.515;1727646.247;37.501;1er ordre;67.699;;;;;
RRSO6;SAINT-LOUIS;342308.276;1772529.693;1.8;1er ordre;32.529;;;;;
RRSO7;PODOR;504657.819;1841137.918;12.289;1er ordre;44.434;;;;;
RRSO8;OURO-SOGUI;680741.403;1725375.384;17.143;1er ordre;50.908;;;;;
RRSO9;RANEROU;612109.621;1691541.441;31.409;1er ordre;64.016;;;;;
RRS10;KIDIRA;800026.79;1599919.876;33.959;1er ordre;65.242;;;;;
RRS11;TAMBACOUNDA;643762.255;1523195.192;36.781;1er ordre;68.547;;;;;
RRS12;KEDOUGOU;805648.247;1390010.915;125.231;1er ordre;156.935;;;;;
RRS13;KOLDA;506590.092;1425870.89;17.384;1er ordre;48.364;;;;;
RRS14;ZIGUINCHOR;361649.971;1389239.848;18.105;1er ordre;47.088;;;;;
RRS15;DIOULOULOU;326814.816;1442406.336;4.487;1er ordre;33.673;;;;;
RRS16;SOKONE;351483.322;1535226.964;8.307;1er ordre;38.353;;;;;
RRS17;KAOLACK;383241.378;1563525.142;3.951;1er ordre;33.941;;;;;
RRS18;KOUNGHEUL;520684.333;1545718.187;11.681;1er ordre;42.512;;;;;
RRS19;FATICK;348474.783;1584306.208;4.761;1er ordre;34.088;;;;;
RRS20;MBOUR;287102.072;1595774.986;12.813;1er ordre;42.663;;;;;
R001;DAKAR;244109.802;1632449.924;5.41;2e ordre;35.949;;;;;
R002;RUFISQUE;254313.374;1629012.76;24.309;2e ordre;54.891;;;;;
B003;BARGNY;259170.158;1626775.157;18.749;2e ordre;49.359;;;;;
V004;SEBIKHOUTANE;269379.719;1630970.362;25.522;2e ordre;56.118;;;;;
